,보증금액,월세금액,관리금액,권리금,층,면적
560,1000,75,0,5000,1,29.75
561,2000,160,10,1000,2,49.6
562,1500,65,2,6000,1,29.75
563,1000,70,1,2000,1,23.14
564,2000,120,13,1500,1,29.75
565,2000,80,25,4500,1,29.75
566,3000,160,3,9000,1,79.34
567,5000,155,30,3500,1,49.59
568,2000,170,10,4800,1,115.7
569,2500,210,0,8500,1,81.17
570,1000,55,0,2200,1,32.95
571,1000,100,0,1000,1,28.1
572,500,30,0,5000,1,26.45
573,1000,80,0,2300,1,19.8
574,3000,200,0,9000,2,66.12
575,4000,132,0,8000,1,19.83
576,2000,121,0,15000,1,9.0
578,2000,110,6,3000,1,33.06
579,1000,60,0,0,1,19.83
580,3000,250,40,7000,1,36.36
581,5000,250,0,9000,1,49.59
582,1000,50,0,3500,1,39.0
583,1000,80,7,4000,1,32.4
584,2000,120,2,5600,1,52.89
586,5000,300,8,15000,1,115.7
588,1000,80,0,3500,1,36.36
589,3500,210,20,2500,1,39.67
590,2000,230,3,10000,1,59.5
591,7000,280,13,6000,1,42.98
592,4000,250,20,10000,1,66.12
593,3000,340,0,17000,1,62.81
594,1200,90,0,7000,1,70.0
595,5000,300,6,7500,1,99.17
596,2000,120,40,5800,1,33.06
597,2000,120,70,2000,-1,33.06
598,1000,50,10,0,1,16.53
599,1000,120,7,2500,1,29.75
600,2000,150,7,3700,1,76.03
601,2000,130,0,4500,2,49.59
602,5000,355,15,18000,1,66.6
603,2500,90,5,10000,2,82.64
604,7000,450,0,1500,1,109.03
605,500,65,0,2700,1,6.61
607,8000,800,0,8000,1,241.0
608,6000,430,30,0,1,99.17
609,900,95,0,2500,2,14.0
610,5000,220,10,6000,1,59.5
611,2000,120,12,13000,1,52.89
612,2000,120,10,4800,1,39.0
613,500,45,2,500,1,29.8
614,5000,480,40,0,1,115.01
615,1000,66,0,8000,1,19.83
616,2000,130,0,2800,1,23.14
618,5000,230,20,5000,1,99.17
619,3000,220,3,7500,1,33.06
620,5000,300,50,6500,-1,36.36
621,2700,232,30,4000,1,59.5
623,4000,150,0,5000,1,52.89
624,1000,60,0,4000,1,52.89
625,1500,70,3,8000,1,36.36
627,1000,140,5,4700,2,49.59
628,2000,85,0,2000,1,9.92
629,3000,100,0,1000,1,23.14
630,2000,120,3,4500,1,33.06
632,1000,70,5,3000,1,33.06
633,500,65,2,3200,1,46.28
636,2000,130,0,7000,-1,99.17
637,4000,180,5,15000,1,89.26
638,6000,180,30,10000,1,26.45
639,2000,90,0,2500,1,33.06
640,0,0,0,0,1,122.31
641,7000,600,15,3500,1,148.76
642,1500,110,5,0,1,36.4
643,2000,90,0,8500,1,49.59
644,3000,160,2,7000,1,66.0
645,3000,220,0,0,1,35.0
647,5000,240,5,1000,2,33.06
649,2000,176,0,12000,1,62.81
650,2000,130,6,10000,1,56.2
651,500,113,0,5000,2,23.14
652,3000,150,5,6000,1,49.59
656,1500,120,0,8500,1,56.25
657,500,50,0,5500,1,29.75
658,2500,230,7,11000,1,23.14
659,3000,290,10,13000,1,19.83
661,2000,200,10,7000,1,29.75
663,2000,160,10,4000,2,33.0
664,2000,220,13,7000,1,35.0
665,1000,73,0,0,1,19.8
666,1000,100,7,3000,1,23.14
667,3000,260,5,13000,1,79.34
669,1000,70,0,2500,1,16.53
670,7800,500,0,12200,1,82.64
671,3000,300,0,12000,1,99.17
672,4000,235,40,17000,1,33.06
673,2000,120,0,4000,1,29.75
674,500,30,15,2000,-1,23.14
675,5000,460,0,4500,-1,162.0
